neutre,phase1,phase2,phase3,time
123.05,125.49,130.37,140.14,14:56:53
119.14,132.32,145.02,137.7,14:56:54
124.02,137.21,136.72,127.93,14:56:55
131.35,133.79,132.32,127.93,14:56:56
125.0,128.91,132.81,140.62,14:56:57
121.58,129.39,141.11,148.93,14:56:58
122.07,128.42,139.65,150.39,14:56:59
123.05,133.79,146.97,143.07,14:57:00
125.0,139.16,140.62,134.28,14:57:01
132.32,137.21,134.77,130.86,14:57:02
132.32,131.84,133.3,136.23,14:57:03
128.91,132.32,133.3,137.21,14:57:04
125.0,130.37,138.67,148.93,14:57:05
124.02,134.28,146.48,145.02,14:57:06
128.91,140.62,143.55,134.77,14:57:07
133.3,138.67,135.74,130.37,14:57:08
134.28,134.28,133.3,133.3,14:57:09
130.37,133.3,133.3,134.28,14:57:10
127.93,131.35,136.72,146.0,14:57:11
125.49,130.86,135.74,146.97,14:57:12
127.44,130.86,135.25,145.51,14:57:13
125.0,132.32,144.04,149.9,14:57:14
128.91,140.62,139.65,133.79,14:57:15
134.77,135.25,133.3,131.84,14:57:16
130.86,131.84,134.28,140.62,14:57:17
127.93,131.84,133.79,142.58,14:57:18
125.49,133.79,140.14,150.39,14:57:19
125.0,137.21,146.97,137.21,14:57:20
129.39,141.11,142.58,134.77,14:57:21
134.77,138.67,134.28,130.37,14:57:22
134.77,139.16,135.25,129.88,14:57:23
132.32,132.32,133.3,135.25,14:57:24
125.49,131.84,138.67,148.44,14:57:25
125.0,131.35,137.7,149.9,14:57:26
127.44,131.35,139.16,148.44,14:57:27
129.39,131.84,135.74,146.97,14:57:28
125.0,132.81,143.55,150.39,14:57:29
125.49,131.84,142.58,147.95,14:57:30
128.91,141.11,140.14,134.77,14:57:31
134.77,142.58,140.62,131.84,14:57:32
130.86,142.09,136.72,132.32,14:57:34
129.88,132.81,134.28,139.65,14:57:35
125.49,131.84,140.62,149.9,14:57:36
125.0,132.32,139.65,150.88,14:57:37
126.46,136.23,146.97,145.51,14:57:38
125.98,135.25,146.97,144.04,14:57:39
126.95,139.16,135.74,134.77,14:57:40
129.88,132.81,133.79,139.65,14:57:41
125.98,131.84,139.16,149.9,14:57:42
125.98,131.35,139.65,150.88,14:57:43
125.0,135.25,143.55,140.14,14:57:44
127.44,140.62,145.02,140.14,14:57:45
128.42,141.11,144.53,136.72,14:57:46
133.79,140.14,134.77,136.72,14:57:47
125.98,131.84,138.18,147.46,14:57:48
134.28,139.16,137.21,130.86,14:57:49
134.77,139.65,136.72,129.88,14:57:50
131.84,133.3,133.79,135.25,14:57:51
125.49,131.84,137.7,148.44,14:57:52
126.46,131.84,137.7,149.41,14:57:53
125.49,134.77,146.97,147.95,14:57:54
126.95,141.11,144.04,137.21,14:57:55
129.88,141.6,139.16,133.79,14:57:56
132.32,133.79,134.77,138.18,14:57:57
130.86,133.3,137.7,147.95,14:57:58
125.49,136.23,146.0,145.02,14:57:59
130.86,142.09,142.58,134.28,14:58:00
135.25,137.7,133.3,130.37,14:58:01
177.73,166.99,156.25,146.97,15:00:25
143.07,144.53,142.58,144.04,15:00:26
132.81,138.18,145.51,146.97,15:00:27
130.37,142.09,146.97,142.09,15:00:28
173.83,161.62,157.71,159.18,15:02:20
135.74,144.53,152.83,151.37,15:02:21
133.3,145.02,147.95,143.07,15:02:22
132.32,142.58,146.97,142.09,15:02:23
137.7,138.18,135.25,134.77,15:02:24
129.39,133.3,137.21,146.48,15:02:25
125.98,133.79,145.02,151.86,15:02:26
126.46,142.58,140.14,135.74,15:02:27
136.23,138.18,134.28,132.81,15:02:28
